Year,Month,ZIP,Customer Type,Monthly Usage (kWh)
2014,9,"37205
(36.112469, -86.867263)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1102541
2014,9,"37229
(36.166687, -86.779932)",COMCOMM > 50 KW,1132300
2014,9,"37215
(36.091316, -86.827959)",RESRESIDENTIAL                SRSRESID. SUPPL.,9752130
2014,9,"37073
(36.42764, -86.812249)",OLMOLB METERED,0
2014,9,"37221
(36.064367, -86.96029)",RESRESIDENTIAL                SRSRESID. SUPPL.,9168975
2014,9,"37075
(36.323052, -86.60557)",COMCOMM > 50 KW,10237920
2016,2,37189,OUTDOOR LIGHTING,0
2014,9,"37218
(36.210699, -86.866798)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,533595
2014,9,"37080
(36.331509, -86.915843)",COMCOMM > 50 KW,565640
2014,9,"37221
(36.064367, -86.96029)",COMCOMM > 50 KW,4592799
2014,9,"37122
(36.187906, -86.500085)",RESRESIDENTIAL                SRSRESID. SUPPL.,645403
2014,9,"37072
(36.350389, -86.731255)",COMCOMM > 50 KW,9991264
2014,9,"37209
(36.149599, -86.874487)",RESRESIDENTIAL                SRSRESID. SUPPL.,5224965
2014,9,"37206
(36.18095, -86.739624)",OLMOLB METERED,2947
2014,9,"37228
(36.193837, -86.803025)",RESRESIDENTIAL                SRSRESID. SUPPL.,49129
2014,9,"37076
(36.175185, -86.5933)",COMCOMM > 50 KW,8213861
2014,9,"37015
(36.29003, -87.070106)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,65794
2014,9,"37213
(36.167552, -86.767564)",COMCOMM > 50 KW,3204055
2014,9,"37212
(36.133256, -86.801456)",SEASEAS > 50 KW,0
2014,9,"37205
(36.112469, -86.867263)",RESRESIDENTIAL                SRSRESID. SUPPL.,10529203
2014,9,"37215
(36.091316, -86.827959)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1438360
2014,9,"37027
(36.00245, -86.778709)",COMCOMM > 50 KW,12508354
2014,9,"37210
(36.140869, -86.738847)",RESRESIDENTIAL                SRSRESID. SUPPL.,1614836
2014,9,"37138
(36.239455, -86.611783)",OLMOLB METERED,14667
2014,9,"37204
(36.109305, -86.776748)",RESRESIDENTIAL                SRSRESID. SUPPL.,2845100
2014,9,"37219
(36.167467, -86.783669)",COMCOMM > 50 KW,6338442
2014,9,"37086
(36.014912, -86.5643)",OLMOLB METERED,29589
2014,9,"37205
(36.112469, -86.867263)",SEASEAS > 50 KW,32960
2014,9,"37211
(36.069132, -86.724578)",COMCOMM > 50 KW,19720723
2014,9,"37013
(36.049335, -86.641832)",RESRESIDENTIAL                SRSRESID. SUPPL.,8215415
2014,9,"37189
(36.279393, -86.826731)",OLMOLB METERED,60
2016,2,37013,OUTDOOR LIGHTING,3937
2014,9,"37227
(36.129798, -86.666977)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,394
2014,9,"37015
(36.29003, -87.070106)",RESRESIDENTIAL                SRSRESID. SUPPL.,708541
2014,9,"37066
(36.387698, -86.459057)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,61267
2014,9,"37206
(36.18095, -86.739624)",COMCOMM > 50 KW,3809406
2014,9,"37227
(36.129798, -86.666977)",COMCOMM > 50 KW,103800
2014,9,"37243
(36.166899, -86.77672)",RESRESIDENTIAL                SRSRESID. SUPPL.,27407
2014,9,"37027
(36.00245, -86.778709)",OLMOLB METERED,30988
2014,9,"37220
(36.06788, -86.776955)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,247308
2014,9,"37238
(36.166067, -86.779698)",COMCOMM > 50 KW,78000
2014,9,"37015
(36.29003, -87.070106)",COMCOMM > 50 KW,3894
2014,9,"37219
(36.167467, -86.783669)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,261942
2014,9,"37207
(36.224945, -86.775061)",OLMOLB METERED,2387
2014,9,"37143
(36.12259, -87.03587)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,27197
2014,9,"37115
(36.262567, -86.704171)",RESRESIDENTIAL                SRSRESID. SUPPL.,6782362
2014,9,"37080
(36.331509, -86.915843)",RESRESIDENTIAL                SRSRESID. SUPPL.,1619220
2014,9,"37201
(36.164553, -86.776977)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,269551
2014,9,"37220
(36.06788, -86.776955)",COMCOMM > 50 KW,1982702
2014,9,"37228
(36.193837, -86.803025)",COMCOMM > 50 KW,6433048
2014,9,"37080
(36.331509, -86.915843)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,248758
2014,9,"37221
(36.064367, -86.96029)",OLMOLB METERED,13110
2014,9,"37072
(36.350389, -86.731255)",OLMOLB METERED,26025
2014,9,"37073
(36.42764, -86.812249)",RESRESIDENTIAL                SRSRESID. SUPPL.,93792
2014,8,"37217
(36.106646, -86.667608)",COMCOMM > 50 KW,13526056
2014,8,"37080
(36.331509, -86.915843)",COMCOMM > 50 KW,531938
2014,8,"37208
(36.176427, -86.805176)",COMCOMM > 50 KW,15505253
2014,8,"37204
(36.109305, -86.776748)",OLMOLB METERED,11528
2014,8,"37138
(36.239455, -86.611783)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,620205
2014,8,"37152
(36.396526, -86.765833)",RESRESIDENTIAL                SRSRESID. SUPPL.,8264
2014,8,"37072
(36.350389, -86.731255)",OLMOLB METERED,16036
2014,8,"37217
(36.106646, -86.667608)",RESRESIDENTIAL                SRSRESID. SUPPL.,3801055
2014,8,"37214
(36.168995, -86.667231)",OLMOLB METERED,10069
2014,8,"37064
(35.889628, -86.926986)",RESRESIDENTIAL                SRSRESID. SUPPL.,6427
2014,8,"37027
(36.00245, -86.778709)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1350897
2014,8,"37216
(36.216134, -86.726204)",OLMOLB METERED,1733
2014,8,"37143
(36.12259, -87.03587)",RESRESIDENTIAL                SRSRESID. SUPPL.,628365
2014,8,"37220
(36.06788, -86.776955)",COMCOMM > 50 KW,2000893
2014,8,"37212
(36.133256, -86.801456)",OLMOLB METERED,51473
2014,8,"37218
(36.210699, -86.866798)",COMCOMM > 50 KW,8523243
2014,8,"37015
(36.29003, -87.070106)",RESRESIDENTIAL                SRSRESID. SUPPL.,744072
2014,8,"37201
(36.164553, -86.776977)",RESRESIDENTIAL                SRSRESID. SUPPL.,61822
2014,8,"37086
(36.014912, -86.5643)",COMCOMM > 50 KW,22082405
2014,8,"37227
(36.129798, -86.666977)",COMCOMM > 50 KW,96680
2014,8,"37189
(36.279393, -86.826731)",RESRESIDENTIAL                SRSRESID. SUPPL.,934955
2014,8,"37210
(36.140869, -86.738847)",OLMOLB METERED,4749
2014,8,"37211
(36.069132, -86.724578)",COMCOMM > 50 KW,20118796
2014,8,"37208
(36.176427, -86.805176)",RESRESIDENTIAL                SRSRESID. SUPPL.,2440905
2014,8,"37221
(36.064367, -86.96029)",COMCOMM > 50 KW,4350487
2014,8,,RESRESIDENTIAL                SRSRESID. SUPPL.,647456
2014,8,"37075
(36.323052, -86.60557)",OLMOLB METERED,51709
2014,8,"37215
(36.091316, -86.827959)",RESRESIDENTIAL                SRSRESID. SUPPL.,9702919
2014,8,"37152
(36.396526, -86.765833)",COMCOMM > 50 KW,58440
2014,8,"37076
(36.175185, -86.5933)",OLMOLB METERED,0
2014,8,"37214
(36.168995, -86.667231)",RESRESIDENTIAL                SRSRESID. SUPPL.,5972539
2014,8,"37220
(36.06788, -86.776955)",RESRESIDENTIAL                SRSRESID. SUPPL.,2967357
2014,8,"37209
(36.149599, -86.874487)",OLMOLB METERED,17550
2014,8,"37214
(36.168995, -86.667231)",COMCOMM > 50 KW,30384022
2014,8,"37204
(36.109305, -86.776748)",COMCOMM > 50 KW,17285612
2014,8,"37215
(36.091316, -86.827959)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1505016
2014,8,"37210
(36.140869, -86.738847)",RESRESIDENTIAL                SRSRESID. SUPPL.,1751079
2014,8,"37205
(36.112469, -86.867263)",OLMOLB METERED,4617
2014,8,"37080
(36.331509, -86.915843)",OLMOLB METERED,560
2014,8,,COMCOMM =< 50 KW              COMCOMM 3-PHASE,1830349
2014,8,"37213
(36.167552, -86.767564)",RESRESIDENTIAL                SRSRESID. SUPPL.,900
2016,2,37206,RESIDENTIAL,4131438
2014,8,"37072
(36.350389, -86.731255)",RESRESIDENTIAL                SRSRESID. SUPPL.,7233957
2014,8,"37189
(36.279393, -86.826731)",COMCOMM > 50 KW,1765047
2014,8,"37219
(36.167467, -86.783669)",RESRESIDENTIAL                SRSRESID. SUPPL.,34812
2014,8,"37069
(35.985493, -86.899213)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,6978
2014,8,,COMCOMM > 50 KW,12629993
2014,8,"37013
(36.049335, -86.641832)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1368181
2014,8,"37228
(36.193837, -86.803025)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,256845
2014,8,"37203
(36.150195, -86.790206)",COMCOMM > 50 KW,85084223
2014,8,"37066
(36.387698, -86.459057)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,63640
2014,8,"37205
(36.112469, -86.867263)",SEASEAS > 50 KW,30080
2014,8,"37115
(36.262567, -86.704171)",COMCOMM > 50 KW,11236400
2014,8,"37069
(35.985493, -86.899213)",COMCOMM > 50 KW,63760
2014,8,"37211
(36.069132, -86.724578)",OLMOLB METERED,16040
2014,8,"37204
(36.109305, -86.776748)",RESRESIDENTIAL                SRSRESID. SUPPL.,2682894
2014,8,"37138
(36.239455, -86.611783)",OLMOLB METERED,2470
2014,8,"37242
(36.165017, -86.782171)",COMCOMM > 50 KW,374400
2014,8,"37217
(36.106646, -86.667608)",OLMOLB METERED,3733
2014,8,"37122
(36.187906, -86.500085)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,6123
2014,8,"37138
(36.239455, -86.611783)",COMCOMM > 50 KW,21702115
2014,8,"37206
(36.18095, -86.739624)",OLMOLB METERED,1756
2014,8,"37228
(36.193837, -86.803025)",OLMOLB METERED,759
2014,8,"37214
(36.168995, -86.667231)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1650829
2014,8,"37015
(36.29003, -87.070106)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,71518
2016,2,37080,RESIDENTIAL,2222284
2014,8,"37212
(36.133256, -86.801456)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1166952
2014,8,"37234
(36.159965, -86.783617)",COMCOMM > 50 KW,40
2014,8,,COMCOMM =< 50 KW              COMCOMM 3-PHASE,2418008
2014,8,"37152
(36.396526, -86.765833)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,20822
2014,8,"37216
(36.216134, -86.726204)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,809396
2014,8,"37228
(36.193837, -86.803025)",COMCOMM > 50 KW,6092500
2016,2,37214,OUTDOOR LIGHTING,3938
2014,8,"37218
(36.210699, -86.866798)",OLMOLB METERED,280
2014,8,"37210
(36.140869, -86.738847)",COMCOMM > 50 KW,30449901
2014,8,"37220
(36.06788, -86.776955)",OLMOLB METERED,5390
2014,8,"37135
(35.946013, -86.661944)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,4344
2014,8,"37203
(36.150195, -86.790206)",RESRESIDENTIAL                SRSRESID. SUPPL.,1006965
2014,8,"37208
(36.176427, -86.805176)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1296577
2014,8,"37209
(36.149599, -86.874487)",COMCOMM > 50 KW,30887608
2014,8,"37080
(36.331509, -86.915843)",RESRESIDENTIAL                SRSRESID. SUPPL.,1601809
2014,8,,COMCOMM =< 50 KW              COMCOMM 3-PHASE,245154
2014,8,"37218
(36.210699, -86.866798)",RESRESIDENTIAL                SRSRESID. SUPPL.,4430424
2014,8,"37227
(36.129798, -86.666977)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,369
2014,8,"37221
(36.064367, -86.96029)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,997956
2014,8,"37219
(36.167467, -86.783669)",COMCOMM > 50 KW,6324119
2014,8,,COMCOMM > 50 KW,2673580
2014,8,"37238
(36.166067, -86.779698)",COMCOMM > 50 KW,75000
2014,8,"37076
(36.175185, -86.5933)",COMCOMM > 50 KW,8354750
2014,8,"37206
(36.18095, -86.739624)",COMCOMM > 50 KW,3826827
2014,8,"37143
(36.12259, -87.03587)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,27885
2014,8,"37201
(36.164553, -86.776977)",COMCOMM > 50 KW,8640999
2014,8,"37243
(36.166899, -86.77672)",RESRESIDENTIAL                SRSRESID. SUPPL.,30056
2014,8,"37216
(36.216134, -86.726204)",COMCOMM > 50 KW,3794976
2014,8,"37013
(36.049335, -86.641832)",OLMOLB METERED,5338
2016,2,37221,COMMERCIAL,927452
2014,8,"37209
(36.149599, -86.874487)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,2679721
2014,8,"37215
(36.091316, -86.827959)",OLMOLB METERED,6817
2014,8,"37216
(36.216134, -86.726204)",RESRESIDENTIAL                SRSRESID. SUPPL.,4034474
2014,8,"37115
(36.262567, -86.704171)",RESRESIDENTIAL                SRSRESID. SUPPL.,7115698
2014,8,"37076
(36.175185, -86.5933)",RESRESIDENTIAL                SRSRESID. SUPPL.,6238397
2014,8,"37013
(36.049335, -86.641832)",COMCOMM > 50 KW,14544427
2014,8,"37203
(36.150195, -86.790206)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,2923859
2014,3,,RESRESIDENTIAL                SRSRESID. SUPPL.,53379
2014,8,"37208
(36.176427, -86.805176)",OLMOLB METERED,25765
2014,8,"37013
(36.049335, -86.641832)",RESRESIDENTIAL                SRSRESID. SUPPL.,9716493
2014,8,"37201
(36.164553, -86.776977)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,272755
2014,8,"37228
(36.193837, -86.803025)",RESRESIDENTIAL                SRSRESID. SUPPL.,44063
2014,8,"37075
(36.323052, -86.60557)",COMCOMM > 50 KW,10483817
2014,8,"37086
(36.014912, -86.5643)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,651557
2014,8,"37211
(36.069132, -86.724578)",RESRESIDENTIAL                SRSRESID. SUPPL.,9744904
2014,8,"37210
(36.140869, -86.738847)",SEASEAS > 50 KW,0
2014,8,"37210
(36.140869, -86.738847)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,2994417
2014,8,"37066
(36.387698, -86.459057)",COMCOMM > 50 KW,443959
2014,8,"37072
(36.350389, -86.731255)",COMCOMM > 50 KW,10033086
2014,8,,RESRESIDENTIAL                SRSRESID. SUPPL.,771405
2014,8,"37220
(36.06788, -86.776955)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,247487
2014,8,"37135
(35.946013, -86.661944)",RESRESIDENTIAL                SRSRESID. SUPPL.,179182
2014,8,"37221
(36.064367, -86.96029)",RESRESIDENTIAL                SRSRESID. SUPPL.,8320623
2014,8,"37205
(36.112469, -86.867263)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,1084307
2014,8,"37213
(36.167552, -86.767564)",COMCOMM =< 50 KW              COMCOMM 3-PHASE,146608
2014,8,"37212
(36.133256, -86.801456)",RESRESIDENTIAL                SRSRESID. SUPPL.,2132120
2014,8,"37066
(36.387698, -86.459057)",RESRESIDENTIAL                SRSRESID. SUPPL.,603875
2014,8,"37215
(36.091316, -86.827959)",COMCOMM > 50 KW,6349152
2014,8,,RESRESIDENTIAL                SRSRESID. SUPPL.,31868
2014,8,"37207
(36.224945, -86.775061)",OLMOLB METERED,104435
